Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
Ashes Ashes Azathoth	New Aeon	NA101	Adventure	Heroic Adventure		7	3												U	"MONSTERS (two) have overrun the city. Through the sight of your WEAPON you see a BUSINESS and MUSEUM lying in RUINS, and an Army TANK lies broken and useless. You're on your own. You grab the cold metal of your TACTICAL NUCLEAR BOMB, and take careful aim at the CORRUPT CULTIST summoning his evil lord (a GREAT OLD ONE or OUTER GOD). You know that you are too close to survive yourself, but only you can end this madness."
Camp Bright Star	New Aeon	NA102	Adventure	Mythos Experience		6	2												C	"It was exciting to drive through the COUNTRY to Camp Bright Star near the lake (a different COUNTRY/WATER LOCATION). We swam most of the day. That NIGHT we clustered around the fire, listening to ole' Zeke paint a DISTURBING PORTRAIT of a crazed SCIENTIST suffering from a PHOBIA and a PHILIA, who killed a girl at a nearby SITE. After, we can sneak into the old CEMETERY and find her grave. Hey, maybe we'll even see a MONSTER!"
Dark Horse	New Aeon	NA103	Adventure	Corrupt Adventure		9	3												U	"This election, you'll help your candidate any way you can. You slip an IRS AUDITOR incriminating evidence on your opponent and fan MEDIA HYPERBOLE to paint a DISTURBING PORTRAIT of him. You summon a HOUND OF TINDALOS to eliminate his campaign team and your agents, the MEN IN BLACK, fill their places. Onboard the 747, you accompany your candidate to campaign stops in THREE different SUBREGIONS. In the end, you'll vote CTHULHU FOR PRESIDENT. Why settle for the lesser evil"
Day the Sun Stood Still	New Aeon	NA104	Adventure	Corrupt Adventure		7	3												C	"The world can change in the BLINK OF AN EYE, especially with help from someone like you. A premonition alerted you to an UNEXPECTED ECLIPSE, visible only from THREE different COUNTRY LOCATIONS. You have long awaited this moment! Searching through the ZANTHU TABLETS you learn how to CALL THE UNNAMED ONE to loose Ye Liveliest Awfullness (a MONSTER) upon the rest of the world."
Deliverance	New Aeon	NA105	Adventure	Mythos Experience		6	2												C	"On vacation at long last, you head upriver through the rugged countryside of TWO CATSKILLS LOCATIONS with your friend, a DREAMER. Then, things go horribly wrong. Your craft capsizes and you are captured by a SERIAL KILLER, who makes you do unspeakable things, giving you a PHOBIA. He takes you to his hideaway SITE where you are enthralled by the banjo playing of his younger cousin, a MUSICIAN. Finally you grab his WEAPON and make good your escape."
Different Worlds	New Aeon	NA106	Adventure	Heroic Adventure		6	2												C	"In college you discovered dark secrets about the world. You must tell the rest of humanity! Refurbishing a RUINS, you found your own publishing company (CHAOSIUM), along with TWO ALLIES who are either AUTHORS, INVENTORS, or ARTISTS. Working on your LAPTOP COMPUTER, you publish at least one TOME per month, now on sale both on the INTERNET and at a BUSINESS LOCATION."
Look to the Future	New Aeon	NA107	Adventure	Mythos Experience		8	2												C	"Deep within the SMUGGLER'S TUNNELS a madman (CORRUPT ALLY) shatters the bonds of Time with new discovery - a crude TIME MACHINE. A wondrous future awaits exploitation! After MUGGING a guard, he breaks into TWO GOVERNMENT ARTIFACT LOCATIONS where he discovers bizarre machines (TWO NEW AEON ARTIFACTS) and a NEW AEON ALLY who may well be his descendent."
Make Them Pay!	New Aeon	NA108	Adventure	Corrupt Adventure		7	2												C	"Life stinks! Up before DAYBREAK, but your car had a flat and you had to HITCH A RIDE. Your deliveries to the THREE different CITIES were late because of traffic. On your last delivery, a BLACKOUT hit and you got lost looking for the BUSINESS. Now they've fired you! They better watch out! You're one of the SERVANTS OF THE SILVER TWILIGHT, and you'll get even! (an EVENT costing Sanity)"
Night at the Opera	New Aeon	NA109	Adventure	Mythos Experience		6	1												C	"While on vacation at the GIULIO CESARE HOTEL, a friend (ALLY that knows Italian) invited you to the opera that NIGHT. A STORM broke at dusk, just when were to meet at the ROME LOCATION near the MUSEUM. Fortunately, you love walking in the rain (HYDOPHILIA), though a MONSTER you imagined in the shadows gave you quite a start. Finally, you made it and had a delightful time enjoying the MASSA DI REQUIEM PER SHUGGAY."
One Small Step	New Aeon	NA110	Adventure	Heroic Adventure		10	4												U	"By the turn of the millennium our space agencies (KENNEDY SPACE CENTER or EUROPEAN SPACE AGENCY) began exploring the cosmos (SHUTTLE ICARUS and TWO different SPACE LOCATIONS). But even the PROPHECIES OF NOSTRADAMUS could not predict what we found. There are races of MONSTERS (two Greater and two Lesser) inhabiting those nether reaches, ruled by their monstrous dark lords (a GREAT OLD ONE or OUTER GOD). Is there, then, any future for humankind?"
Operation Nemesis	New Aeon	NA111	Adventure	Heroic Adventure		7	2												C	"Good Morning, DETECTIVE. Here at FBI Headquarters (J. EDGAR HOOVER BUILDING ) we are about to launch Operation NEMESIS. Your mission is to identify a suspected CULTIST, currently a member of a UNITED NATIONS delegation. We believe his ultimate destination to be our nation's Capitol (one WASHINGTON D.C. Location), but beware: he is known to summon a MONSTER to do his bidding. The accompanying TOME will provide you with clues to his motives. Good Luck."""
Out Of My Mind	New Aeon	NA112	Adventure	Quest		8	2												R	"Arriving in a simple brown wrapper, the antique book read PNAKOTIC MANUSCRIPTS across the plain cover. For hours I read, about strange creatures called YITHIANs who possessed singular mental powers (YITHIAN MENTAL CONTACT and YITHIAN PSYCHIC POSSESSION). Apparently, they can travel through time at will, stepping from here (WAKING WORLD LOCATION) into the future (NEW AEON LOCATION) as easily as we step from room to room. They could be with us now!"
Outbreak	New Aeon	NA113	Adventure	Heroic Adventure		8	2												U	"The carrier contracted the disease in Kingsport (KINGSPORT LOCATION) - he lived just a block from the DAWN BIOZYME RESEARCH LAB. He spread it to the others aboard the plane (TRAVEL BY AIR) and the DOCTOR was quickly overwhelmed despite his EMERGENCY MEDICAL EQUIPMENT. Authorities allowed an emergency landing at the COUNTRY LOCATION, after first establishing a GOVERMENT QUARANTINE about the airport. Evidence collected by the HAZ-MAT TEAM confirmed everyone's worst fear: the dread EBOLA VIRUS was spreading!"
Plan 9	New Aeon	NA114	Adventure	Mythos Experience		8	3												U	"Here you are a world-famous actor, and all your agent can get you is a B-MOVIE SCRIPT. You've seen this plot before in a dime-store TOME: the SCIENTIST or PROFESSOR invents a goofy-looking TIME MACHINE, which spews forth a shaggy MONSTER. The monster runs rampant, using its hypnotic abilities to ENTHRALL VICTIMS across the world (THREE LOCATIONS in different subregions). Only Our Hero and his sidekick, TOODEE-6, can save humankind."
